timestamp,android_nano_timestamp,temperature,calib_mag,calib_accel,calib_gyro,calib_sys,acc_x,acc_y,acc_z,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,label,person
4.63,1848319.580960272,23,3,3,0,3,23.24,1.29,-1.88,13.58,-0.39,-2.14,-26.75,-12.0,-3.0625,0.716064453125,0.10198974609375,-0.6903076171875,-0.01904296875,-33.5625,42.5,-10.0625,9.65,1.68,0.25,moving,3
4.64,1848319.580960272,23,3,3,0,3,17.33,3.06,-1.73,7.7,1.31,-2.14,2.75,96.0625,-39.625,0.7216796875,0.10467529296875,-0.6839599609375,-0.02044677734375,-33.5625,42.5,-10.0625,9.63,1.75,0.41,moving,3
4.66,1848319.592760036,23,3,3,0,3,14.99,3.41,-1.19,5.38,1.56,-1.78,3.125,106.1875,-53.75,0.7279052734375,0.1082763671875,-0.67669677734375,-0.022705078125,-33.5625,42.5,-10.0625,9.61,1.84,0.59,moving,3
4.67,1848319.592760036,23,3,3,0,3,13.51,3.86,-0.53,3.93,1.92,-1.24,-37.375,62.625,-58.75,0.73175048828125,0.10858154296875,-0.6722412109375,-0.02899169921875,-32.75,44.25,-5.75,9.58,1.94,0.71,moving,3
4.68,1848319.604184556,23,3,3,0,3,12.72,3.96,0.18,3.16,1.93,-0.62,-86.3125,40.75,-59.9375,0.7347412109375,0.10662841796875,-0.6688232421875,-0.03753662109375,-32.75,44.25,-5.75,9.56,2.02,0.8,moving,3
4.69,1848319.604184556,23,3,3,0,3,10.08,3.48,1.13,0.55,1.38,0.18,-122.4375,55.125,-57.3125,0.7388916015625,0.102294921875,-0.664306640625,-0.04779052734375,-32.75,44.25,-5.75,9.53,2.1,0.94,moving,3
4.7,1848319.638905707,23,3,3,0,3,8.58,3.11,1.2,-0.9,0.93,0.05,-136.625,88.6875,-57.5625,0.74493408203125,0.09716796875,-0.65740966796875,-0.05865478515625,-32.75,44.25,-5.75,9.49,2.17,1.14,moving,3
4.7,1848319.638905707,23,3,3,0,3,7.44,2.0,1.18,-1.99,-0.24,-0.19,-130.625,116.0,-62.1875,0.75225830078125,0.09283447265625,-0.64862060546875,-0.06915283203125,-32.75,44.25,-5.75,9.44,2.24,1.38,moving,3
4.71,1848319.653972561,23,3,3,0,3,6.73,0.8,1.04,-2.64,-1.51,-0.58,-115.625,124.25,-65.75,0.75970458984375,0.0897216796875,-0.63916015625,-0.0789794921875,-33.1875,43.5625,-7.75,9.38,2.32,1.63,moving,3
4.72,1848319.653972561,23,3,3,0,3,5.44,-1.03,1.39,-3.87,-3.44,-0.47,-99.9375,120.125,-67.125,0.76666259765625,0.087646484375,-0.62994384765625,-0.08807373046875,-33.1875,43.5625,-7.75,9.32,2.4,1.87,moving,3
4.74,1848319.66767007,23,3,3,0,3,4.66,-1.68,1.53,-4.58,-4.16,-0.57,-93.875,121.1875,-68.25,0.7734375,0.0860595703125,-0.6204833984375,-0.09686279296875,-33.1875,43.5625,-7.75,9.24,2.48,2.1,moving,3
4.75,1848319.66767007,23,3,3,0,3,3.72,-1.85,1.43,-5.44,-4.4,-0.93,-98.5625,134.5625,-67.9375,0.78076171875,0.08416748046875,-0.6099853515625,-0.10577392578125,-33.1875,43.5625,-7.75,9.16,2.55,2.36,moving,3
4.76,1848319.694699896,23,3,3,0,3,1.75,-1.38,0.83,-7.3,-4.0,-1.82,-105.0625,156.8125,-68.25,0.78912353515625,0.08209228515625,-0.5977783203125,-0.11480712890625,-33.1875,43.5625,-7.75,9.06,2.61,2.66,moving,3
4.77,1848319.694699896,23,3,3,0,3,1.01,-0.92,0.38,-7.93,-3.59,-2.61,-107.5,180.5625,-68.4375,0.79852294921875,0.08001708984375,-0.58367919921875,-0.123779296875,-36.75,42.875,-7.75,8.94,2.67,2.99,moving,3
4.78,1848319.709901556,23,3,3,0,3,0.56,-0.43,-0.01,-8.24,-3.15,-3.35,-100.625,188.0,-65.6875,0.80792236328125,0.078369140625,-0.56890869140625,-0.13214111328125,-36.75,42.875,-7.75,8.81,2.71,3.33,moving,3
4.79,1848319.709901556,23,3,3,0,3,-0.16,-0.07,-0.39,-8.84,-2.82,-4.01,-85.125,163.5,-58.125,0.8157958984375,0.07708740234375,-0.55596923828125,-0.13934326171875,-36.75,42.875,-7.75,8.68,2.75,3.62,moving,3
4.79,1848319.744668239,23,3,3,0,3,-0.94,0.82,0.01,-9.53,-1.95,-3.81,-70.75,109.9375,-48.5625,0.82098388671875,0.07574462890625,-0.546875,-0.14544677734375,-36.75,42.875,-7.75,8.59,2.78,3.82,moving,3
4.81,1848319.744668239,23,3,3,0,3,-1.15,1.08,0.46,-9.69,-1.72,-3.46,-58.6875,51.8125,-45.4375,0.8232421875,0.0743408203125,-0.5421142578125,-0.15118408203125,-36.75,42.875,-7.75,8.53,2.8,3.93,moving,3
4.82,1848319.754169216,23,3,3,0,3,-1.23,1.37,0.62,-9.74,-1.45,-3.35,-49.9375,10.6875,-40.75,0.82379150390625,0.0738525390625,-0.540283203125,-0.15484619140625,-37.875,41.75,-9.25,8.5,2.83,3.97,moving,3
